Level,brba,brbv,brbponda,brbpondv,brmbra,brmbrv,farmba,farmbv,southa,southv,maga,magv,northa,northv,northponda,northpondv
4165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4166.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4167,0,0,0,0,0,0,0,0,1956.143156,0.240463407,0,0,2126.52935,0.26139871,0,0
4167.5,0,0,0,0,0,0,0,0,3732.925399,1431.236312,0,0,4657.14608,1657.739514,0,0
4168,0,0,0,0,0,0,0,0,8201.881572,3720.962708,0,0,8530.308881,4826.889351,0,0
4168.5,0,0,0,0,0,0,0,0,11326.53337,8591.708879,0,0,11860.62784,9900.010964,0,0
4169,0,0,0,0,0,0,0,0,34569.59326,15108.73792,0,0,19569.45462,16800.56432,0,0
4169.5,0,0,0,0,0,0,0,0,55575.59517,37611.99948,0,0,24630.73789,27817.33155,0,0
4170,0,0,0,0,0,0,0,0,81143.25795,70919.34182,0,0,34054.09362,41591.71297,0,0
4170.5,0,0,0,0,0,0,0,0,93837.83196,114651.9344,0,0,39657.14654,60039.58835,0,0
4171,0,0,0,0,0,0,0,0,107246.7023,164885.6015,0,0,44922.63023,81194.86119,0,0
4171.5,0,0,0,0,0,0,0,0,120654.6268,222344.4957,0,0,49499.72331,104881.0578,0,0
4172,0,0,0,0,0,0,0,0,132114.4985,285534.5571,0,0,53847.4407,130709.544,0,0
4172.5,0,0,0,0,0,0,0,0,145503.4995,355728.0723,0,0,58644.55419,158955.5766,0,0
4173,0,0,0,0,0,0,0,0,155505.6642,430990.6152,0,0,63072.87816,189377.9836,0,0
4173.5,0,0,0,0,0,0,0,0,163766.6388,510862.8526,0,0,68679.7386,222386.3118,0,0
4174,0,0,0,0,0,0,0,0,171924.6166,594778.5411,0,0,74161.54911,258088.6782,0,0
4174.5,0,0,0,0,0,0,0,0,179919.1123,682825.3051,0,0,80006.42967,296652.0662,0,0
4175,0,0,0,0,0,0,0,0,187544.6094,774689.483,0,0,86006.62729,338143.5288,0,0
4175.5,0,0,0,0,0,0,0,0,194458.087,870301.4719,0,0,91383.02759,382520.8166,0,0
4176,0,0,0,0,0,0,0,0,200881.9663,969138.9778,0,0,96949.74041,429588.7356,0,0
4176.5,0,0,0,0,0,0,0,0,206935.7519,1071123.633,0,0,102193.5286,479471.2787,0,0
4177,0,0,0,0,0,0,0,0,212942.6411,1176089.417,0,0,107262.5008,531824.8697,0,0
4177.5,0,0,0,0,0,0,0,0,218814.6956,1284043.045,0,0,111210.3669,586440.7622,0,0
4178,0,0,0,0,0,0,0,0,224809.5061,1394916.984,0,0,116594.2175,643095.1877,0,0
4178.5,0,0,0,0,0,0,0,0,230758.0989,1508809.441,0,0,121357.2761,702567.1789,0,0
4179,0,0,0,0,0,0,0,0,236896.0985,1625677.863,0,0,127108.1184,764530.4862,0,0
4179.5,0,0,0,0,0,0,0,0,243240.0477,1745702.057,0,0,132173.184,829338.4449,0,0
4180,0,0,0,0,0,0,0,0,249940.1257,1868959.736,0,0,138368.1279,896769.6683,0,0
4180.5,0,0,0,0,0,0,0,0,255562.5306,1995334.737,0,0,143008.3856,967104.8089,0,0
4181,0,0,0,0,0,0,0,0,261672.2373,2124533.991,0,0,150388.0114,1039832.38,0,0
