"Date" "Slevel_ft" "Slevel_m" "Sarea_m2" "Svol_m3" "Nlevel_ft" "Nlevel_m" "Narea_m2" "Nvol_m3" "TotalArea_m2" "TotalVol_m3"
1847-10-18 4199.8 1280.09904 2631114137.34231 11893157331.5563 NA 1280.09904 1544278521.27126 6928229298.48226 4175392658.61357 18821386630.0385
1848-07-04 4201 1280.4648 2861515025.01926 12899724086.3355 NA 1280.4648 1578491861.30286 7500414586.45208 4440006886.32212 20400138672.7876
1848-09-30 4199.8 1280.09904 2631114137.34231 11893157331.5563 NA 1280.09904 1544278521.27126 6928229298.48226 4175392658.61357 18821386630.0385
1849-06-16 4201.1 1280.49528 2887289774.12694 12989485863.0645 NA 1280.49528 1583349574.6515 7548888118.78898 4470639348.77844 20538373981.8535
1849-10-19 4199.9 1280.12952 2649678720.84942 11972916844.5174 NA 1280.12952 1550015735.6288 6975213962.02502 4199694456.47823 18948130806.5424
1850-06-16 4201.2 1280.52576 2913064523.23443 13079247639.7928 NA 1280.52576 1588207288.00011 7597361651.12553 4501271811.23454 20676609290.9184
1850-10-19 4199.9 1280.12952 2649678720.84942 11972916844.5174 NA 1280.12952 1550015735.6288 6975213962.02502 4199694456.47823 18948130806.5424
1851-07-07 4202 1280.7696 3067570185.03057 13810535462.7004 NA 1280.7696 1622311109.04852 7988607649.1452 4689881294.07909 21799143111.8456
1851-12-15 4200.6 1280.34288 2798038581.19433 12557229305.6328 NA 1280.34288 1570864098.26894 7308569632.2159 4368902679.46327 19865798937.8487
1852-07-09 4202.9 1281.04392 3171065362.98406 14666944522.5044 NA 1281.04392 1660459273.20094 8439339682.28679 4831524636.185 23106284204.7912
1852-11-30 4201.9 1280.73912 3052133902.13585 13718134964.1558 NA 1280.73912 1618404972.848 7939442568.94312 4670538874.98384 21657577533.0989
1853-07-30 4204 1281.3792 3288217349.61978 15750126330.4435 NA 1281.3792 1725578610.35805 9006335933.811 5013795959.97783 24756462264.2545
1854-01-08 4203 1281.0744 3182672072.14359 14763034391.4128 NA 1281.0744 1663702674.20313 8489784687.64773 4846374746.34672 23252819079.0606
1854-07-31 4204.4 1281.50112 3342268377.02083 16155577219.3499 NA 1281.50112 1764448027.49143 9219727191.68565 5106716404.51226 25375304411.0355
1854-12-22 4203.6 1281.25728 3249377466.65062 15351972750.6661 NA 1281.25728 1704181929.78928 8797683067.61859 4953559396.43991 24149655818.2847
1855-06-07 4204.6 1281.56208 3367362461.68743 16360092450.2825 NA 1281.56208 1779701019.75694 9327563783.11138 5147063481.44436 25687656233.3939
1855-10-28 4203.1 1281.10488 3194071156.89656 14860914384.2748 NA 1281.10488 1670728691.29194 8540931720.33238 4864799848.1885 23401846104.6072
1856-06-25 4204.3 1281.47064 3328755620.17069 16054214497.1242 NA 1281.47064 1754730673.20818 9166379377.21748 5083486293.37887 25220593874.3417
1856-12-04 4203.1 1281.10488 3194071156.89656 14860914384.2748 NA 1281.10488 1670728691.29194 8540931720.33238 4864799848.1885 23401846104.6072
1857-07-31 4203.9 1281.34872 3278507378.87744 15650587935.4986 NA 1281.34872 1720229440.21583 8954172717.26261 4998736819.09326 24604760652.7612
1857-10-26 4202.1 1280.80008 3078983853.29375 13904945379.5353 NA 1280.80008 1627346021.07729 8038398051.48521 4706329874.37104 21943343431.0205
1858-07-30 4203.1 1281.10488 3194071156.89656 14860914384.2748 NA 1281.10488 1670728691.29194 8540931720.33238 4864799848.1885 23401846104.6072
1858-11-12 4201.1 1280.49528 2887289774.12694 12989485863.0645 NA 1280.49528 1583349574.6515 7548888118.78898 4470639348.77844 20538373981.8535
1859-06-20 4201.8 1280.70864 3036697619.24124 13625734465.6118 NA 1280.70864 1614498836.64751 7890277488.7414 4651196455.88874 21516011954.3532
1859-10-05 4200.3 1280.25144 2736599003.88561 12304033909.2662 NA 1280.25144 1563675474.50084 7165244486.42149 4300274478.38645 19469278395.6876
1860-07-08 4201.5 1280.6172 2990388770.55729 13348532969.9791 NA 1280.6172 1602780428.046 7742782248.13589 4593169198.60329 21091315218.115
1860-12-15 4199.5 1280.0076 2575420386.82084 11653878792.6723 NA 1280.0076 1527066878.19858 6787275307.85363 4102487265.01942 18441154100.526
1861-07-08 4201 1280.4648 2861515025.01926 12899724086.3355 NA 1280.4648 1578491861.30286 7500414586.45208 4440006886.32212 20400138672.7876
1861-11-28 4199.5 1280.0076 2575420386.82084 11653878792.6723 NA 1280.0076 1527066878.19858 6787275307.85363 4102487265.01942 18441154100.526
