"Date","S_Level_ft","N_level_ft","S_level_m","N_level_m","S_area_m2","N_area_m2","S_vol_m3","N_vol_m3","Total_vol_m3"
"1915-01-01",4202.5,4202.5,1280.922,1280.922,3124638526.34622,1647485669.19225,14282585046.8728,8237559660.84414,22520144707.7169
"1915-02-01",4202.6,4202.6,1280.95248,1280.95248,3136245235.50566,1650729070.19442,14378674915.7805,8288004666.20471,22666679581.9852
"1915-03-01",4202.9,4202.9,1281.04392,1281.04392,3171065362.98415,1660459273.20096,14666944522.5051,8439339682.28716,23106284204.7923
"1915-04-01",4203.1,4203.1,1281.10488,1281.10488,3194071156.89656,1670728691.29194,14860914384.2748,8540931720.33238,23401846104.6072
"1915-05-01",4203.2,4203.2,1281.13536,1281.13536,3205470241.64945,1677754708.38069,14958794377.136,8592078753.01664,23550873130.1527
"1915-06-01",4203.2,4203.2,1281.13536,1281.13536,3205470241.64945,1677754708.38069,14958794377.136,8592078753.01664,23550873130.1527
"1915-07-01",4202.9,4202.9,1281.04392,1281.04392,3171065362.98415,1660459273.20096,14666944522.5051,8439339682.28716,23106284204.7923
"1915-08-01",4202.4,4202.4,1280.89152,1280.89152,3113224858.08304,1642450757.16348,14188175130.0379,8187769258.50413,22375944388.542
"1915-09-01",4201.9,4201.9,1280.73912,1280.73912,3052133902.13585,1618404972.848,13718134964.1558,7939442568.94312,21657577533.0989
"1915-10-01",4201.6,4201.6,1280.64768,1280.64768,3005825053.4519,1606686564.24649,13440933468.5231,7791947328.3376,21232880796.8607
"1915-11-01",4201.4,4201.4,1280.58672,1280.58672,2964614021.44961,1597922714.69736,13258771193.2501,7694308715.79898,20953079909.0491
"1915-12-01",4201.4,4201.4,1280.58672,1280.58672,2964614021.44961,1597922714.69736,13258771193.2501,7694308715.79898,20953079909.0491
"1916-01-01",4201.4,4201.4,1280.58672,1280.58672,2964614021.44961,1597922714.69736,13258771193.2501,7694308715.79898,20953079909.0491
"1916-02-01",4201.6,4201.6,1280.64768,1280.64768,3005825053.4519,1606686564.24649,13440933468.5231,7791947328.3376,21232880796.8607
"1916-03-01",4202.1,4202.1,1280.80008,1280.80008,3078983853.29367,1627346021.07725,13904945379.5346,8038398051.48484,21943343431.0195
