# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-04-23 13:23:23 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10010100 GREAT SALT LAKE NEAR SALINE, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 10010100
#            TS   parameter     statistic     Description
#        178324       62614     00003     Lake or reservoir water surface elevation above NGVD 1929, feet (Mean), elevation
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	178324_62614_00003	178324_62614_00003_cd
5s	15s	20d	14n	10s
USGS	10010100	1966-04-15	4194.90	A
USGS	10010100	1966-04-16		
USGS	10010100	1966-04-17		
USGS	10010100	1966-04-18		
USGS	10010100	1966-04-19		
USGS	10010100	1966-04-20		
USGS	10010100	1966-04-21		
USGS	10010100	1966-04-22		
USGS	10010100	1966-04-23		
USGS	10010100	1966-04-24		
USGS	10010100	1966-04-25		
USGS	10010100	1966-04-26		
USGS	10010100	1966-04-27		
USGS	10010100	1966-04-28		
USGS	10010100	1966-04-29		
USGS	10010100	1966-04-30		
USGS	10010100	1966-05-01	4194.90	A
USGS	10010100	1966-05-02		
USGS	10010100	1966-05-03		
USGS	10010100	1966-05-04		
USGS	10010100	1966-05-05		
USGS	10010100	1966-05-06		
USGS	10010100	1966-05-07		
USGS	10010100	1966-05-08		
USGS	10010100	1966-05-09		
USGS	10010100	1966-05-10		
USGS	10010100	1966-05-11		
USGS	10010100	1966-05-12		
USGS	10010100	1966-05-13		
USGS	10010100	1966-05-14		
USGS	10010100	1966-05-15	4194.90	A
USGS	10010100	1966-05-16		
USGS	10010100	1966-05-17		
USGS	10010100	1966-05-18		
