STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-PRCP-25PCTL,DLY-PRCP-50PCTL,DLY-PRCP-75PCTL,MTD-PRCP-NORMAL,YTD-PRCP-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-SNOW-PCTALL-GE001TI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100101,0.08,0.2,0.46,0.08,0.08,194,88,7,0,159,-2.9,-6.8,2.6,-8.3,-13.9,-14.1,-13.8,-13.1
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100102,0.08,0.2,0.46,0.15,0.15,194,89,7,0,158,-2.9,-6.8,2.6,-8.3,-13.9,-14.1,-13.8,-13.1
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100103,0.08,0.23,0.46,0.23,0.23,195,90,7,0,157,-2.9,-6.9,2.6,-8.3,-13.9,-14.1,-13.8,-13.1
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100104,0.08,0.23,0.46,0.28,0.28,195,90,7,0,156,-2.9,-6.9,2.5,-8.3,-13.9,-14.1,-13.8,-13
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100105,0.08,0.23,0.48,0.36,0.36,195,91,7,0,155,-2.9,-6.9,2.5,-8.3,-13.8,-14.1,-13.9,-13
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100106,0.08,0.23,0.48,0.43,0.43,195,91,8,0,153,-2.9,-7,2.5,-8.3,-13.8,-14.1,-13.9,-13
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100107,0.08,0.23,0.48,0.51,0.51,194,92,8,0,152,-2.9,-7,2.4,-8.3,-13.8,-14.1,-13.9,-12.9
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100108,0.08,0.23,0.48,0.58,0.58,193,92,8,0,150,-2.9,-7.1,2.4,-8.3,-13.8,-14.1,-13.9,-12.9
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100109,0.08,0.23,0.48,0.66,0.66,192,93,8,0,147,-2.9,-7.1,2.4,-8.3,-13.8,-14.1,-13.9,-12.9
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100110,0.08,0.23,0.48,0.71,0.71,192,94,9,0,145,-2.9,-7,2.4,-8.3,-13.8,-14.1,-13.9,-12.9
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100111,0.1,0.23,0.51,0.81,0.81,192,95,9,0,143,-2.9,-7,2.4,-8.3,-13.8,-14.1,-14,-12.9
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100112,0.1,0.23,0.51,0.89,0.89,192,96,10,0,141,-2.9,-7,2.5,-8.3,-13.8,-14.1,-14,-12.8
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100113,0.1,0.25,0.51,0.97,0.97,192,97,10,0,140,-2.9,-6.9,2.5,-8.3,-13.8,-14,-14,-12.8
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100114,0.1,0.25,0.51,1.04,1.04,193,98,11,0,138,-2.9,-6.9,2.6,-8.3,-13.8,-13.9,-14.1,-12.8
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100115,0.1,0.25,0.53,1.12,1.12,194,99,11,0,136,-2.9,-6.8,2.6,-8.3,-13.8,-13.9,-14.1,-12.7
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100116,0.1,0.25,0.53,1.22,1.22,194,100,12,0,134,-2.8,-6.8,2.6,-8.3,-13.8,-13.9,-14,-12.7
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100117,0.1,0.25,0.53,1.3,1.3,195,100,12,0,133,-2.8,-6.7,2.7,-8.4,-13.7,-13.8,-14,-12.6
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100118,0.1,0.25,0.53,1.37,1.37,197,102,13,0,132,-2.8,-6.7,2.7,-8.4,-13.7,-13.8,-14,-12.6
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100119,0.1,0.25,0.53,1.45,1.45,199,103,13,0,131,-2.8,-6.6,2.8,-8.4,-13.6,-13.8,-13.9,-12.5
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100120,0.1,0.25,0.53,1.55,1.55,202,105,14,0,130,-2.8,-6.5,2.9,-8.4,-13.6,-13.7,-13.9,-12.4
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100121,0.1,0.25,0.53,1.63,1.63,204,106,14,0,130,-2.7,-6.4,2.9,-8.4,-13.6,-13.7,-13.9,-12.4
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100122,0.1,0.25,0.53,1.7,1.7,207,107,15,0,130,-2.7,-6.3,3.1,-8.4,-13.5,-13.6,-13.8,-12.3
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100123,0.1,0.25,0.53,1.78,1.78,209,109,15,0,130,-2.7,-6.2,3.2,-8.4,-13.4,-13.6,-13.8,-12.2
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100124,0.1,0.25,0.53,1.88,1.88,211,110,15,0,129,-2.6,-6.1,3.2,-8.5,-13.4,-13.6,-13.8,-12.2
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100125,0.1,0.25,0.53,1.98,1.98,214,111,16,0,128,-2.6,-5.9,3.3,-8.5,-13.3,-13.5,-13.7,-12.1
GHCND:USC00428973,UTAH LAKE LEHI UT US,1370.7,40.3597,-111.8972,20100126,0.1,0.25,0.53,2.08,2.08,216,112,16,0,127,-2.6,-5.8,3.4,-8.5,-13.3,-13.5,-13.7,-12.1
