Date,ShortwaveRadiation_wm2,Lake
1-Jan-80,48.582,Farmington Bay
2-Jan-80,69.165,Farmington Bay
3-Jan-80,74.523,Farmington Bay
4-Jan-80,84.662,Farmington Bay
5-Jan-80,75.424,Farmington Bay
6-Jan-80,74.181,Farmington Bay
7-Jan-80,90.418,Farmington Bay
8-Jan-80,47.715,Farmington Bay
9-Jan-80,62.72,Farmington Bay
10-Jan-80,69.97,Farmington Bay
11-Jan-80,47.671,Farmington Bay
12-Jan-80,47.834,Farmington Bay
13-Jan-80,51.173,Farmington Bay
14-Jan-80,76.785,Farmington Bay
15-Jan-80,64.708,Farmington Bay
16-Jan-80,55.084,Farmington Bay
17-Jan-80,68.447,Farmington Bay
18-Jan-80,67.777,Farmington Bay
19-Jan-80,93.918,Farmington Bay
20-Jan-80,104.587,Farmington Bay
21-Jan-80,102.849,Farmington Bay
22-Jan-80,107.601,Farmington Bay
23-Jan-80,106.708,Farmington Bay
24-Jan-80,107.471,Farmington Bay
25-Jan-80,110.635,Farmington Bay
26-Jan-80,104.978,Farmington Bay
27-Jan-80,69.493,Farmington Bay
28-Jan-80,75.469,Farmington Bay
29-Jan-80,55.881,Farmington Bay
30-Jan-80,121.675,Farmington Bay
31-Jan-80,113.456,Farmington Bay
1-Feb-80,100.007,Farmington Bay
2-Feb-80,121.116,Farmington Bay
3-Feb-80,85.932,Farmington Bay
4-Feb-80,126.086,Farmington Bay
5-Feb-80,121.448,Farmington Bay
6-Feb-80,73.303,Farmington Bay
7-Feb-80,120.952,Farmington Bay
8-Feb-80,135.582,Farmington Bay
9-Feb-80,137.18,Farmington Bay
10-Feb-80,133.98,Farmington Bay
11-Feb-80,136.124,Farmington Bay
12-Feb-80,134.516,Farmington Bay
13-Feb-80,134.624,Farmington Bay
14-Feb-80,71.726,Farmington Bay
15-Feb-80,95.603,Farmington Bay
16-Feb-80,135.965,Farmington Bay
17-Feb-80,75.089,Farmington Bay
18-Feb-80,99.001,Farmington Bay
19-Feb-80,122.384,Farmington Bay
20-Feb-80,114.906,Farmington Bay
21-Feb-80,99.815,Farmington Bay
22-Feb-80,138.518,Farmington Bay
23-Feb-80,115.371,Farmington Bay
24-Feb-80,156.179,Farmington Bay
25-Feb-80,126.063,Farmington Bay
26-Feb-80,145.172,Farmington Bay
27-Feb-80,163.699,Farmington Bay
28-Feb-80,107.701,Farmington Bay
29-Feb-80,140.066,Farmington Bay
1-Mar-80,187.193,Farmington Bay
2-Mar-80,123.598,Farmington Bay
3-Mar-80,135.702,Farmington Bay
4-Mar-80,108.208,Farmington Bay
5-Mar-80,150.959,Farmington Bay
6-Mar-80,169.34,Farmington Bay
7-Mar-80,180.098,Farmington Bay
8-Mar-80,170.411,Farmington Bay
9-Mar-80,126.686,Farmington Bay
10-Mar-80,198.71,Farmington Bay
11-Mar-80,143.119,Farmington Bay
12-Mar-80,158.205,Farmington Bay
13-Mar-80,147.526,Farmington Bay
14-Mar-80,201.774,Farmington Bay
15-Mar-80,124.018,Farmington Bay
16-Mar-80,174.29,Farmington Bay
17-Mar-80,223.672,Farmington Bay
18-Mar-80,158.18,Farmington Bay
19-Mar-80,205.264,Farmington Bay
20-Mar-80,215.326,Farmington Bay
21-Mar-80,130.544,Farmington Bay
22-Mar-80,217.846,Farmington Bay
23-Mar-80,173.913,Farmington Bay
24-Mar-80,173.026,Farmington Bay
25-Mar-80,137.495,Farmington Bay
26-Mar-80,173.218,Farmington Bay
27-Mar-80,189.216,Farmington Bay
28-Mar-80,233.164,Farmington Bay
29-Mar-80,245.337,Farmington Bay
30-Mar-80,174.59,Farmington Bay
31-Mar-80,140.737,Farmington Bay
1-Apr-80,185.934,Farmington Bay
2-Apr-80,147.028,Farmington Bay
3-Apr-80,142.331,Farmington Bay
