# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-12-06 22:57:36 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10153100 HOBBLE CREEK AT 1650 WEST AT SPRINGVILLE, UTAH
# -----------------------------------------------------------------------------------
#
# Data provided for site 10153100
#            TS   parameter     statistic     Description
#        143615       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	143615_00060_00003	143615_00060_00003_cd
5s	15s	20d	14n	10s
USGS	10153100	2008-11-15	24.3	A
USGS	10153100	2008-11-16	25.0	A
USGS	10153100	2008-11-17	24.7	A
USGS	10153100	2008-11-18	24.7	A
USGS	10153100	2008-11-19	24.5	A
USGS	10153100	2008-11-20	24.5	A
USGS	10153100	2008-11-21	25.1	A
USGS	10153100	2008-11-22	27.3	A
USGS	10153100	2008-11-23	25.6	A
USGS	10153100	2008-11-24	26.3	A
USGS	10153100	2008-11-25	27.1	A
USGS	10153100	2008-11-26	25.1	A
USGS	10153100	2008-11-27	27.0	A
USGS	10153100	2008-11-28	26.1	A
USGS	10153100	2008-11-29	26.0	A
USGS	10153100	2008-11-30	26.7	A
USGS	10153100	2008-12-01	24.8	A
USGS	10153100	2008-12-02	24.7	A
USGS	10153100	2008-12-03	23.6	A
USGS	10153100	2008-12-04	25.7	A
USGS	10153100	2008-12-05	28.5	A
USGS	10153100	2008-12-06	29.2	A
USGS	10153100	2008-12-07	27.3	A
USGS	10153100	2008-12-08	26.8	A
USGS	10153100	2008-12-09	27.4	A
USGS	10153100	2008-12-10	26.7	A
USGS	10153100	2008-12-11	25.9	A
USGS	10153100	2008-12-12	26.9	A
USGS	10153100	2008-12-13	26.7	A
USGS	10153100	2008-12-14	26.1	A
USGS	10153100	2008-12-15	26.5	A
USGS	10153100	2008-12-16	27.1	A
USGS	10153100	2008-12-17	25.9	A
USGS	10153100	2008-12-18	27.7	A
USGS	10153100	2008-12-19	28.4	A
USGS	10153100	2008-12-20	26.9	A
USGS	10153100	2008-12-21	26.9	A
USGS	10153100	2008-12-22	26.6	A
USGS	10153100	2008-12-23	26.0	A
USGS	10153100	2008-12-24	25.7	A
USGS	10153100	2008-12-25	26.3	A
USGS	10153100	2008-12-26	26.1	A
USGS	10153100	2008-12-27	25.7	A
USGS	10153100	2008-12-28	25.6	A
USGS	10153100	2008-12-29	25.7	A
USGS	10153100	2008-12-30	25.7	A
USGS	10153100	2008-12-31	26.0	A
USGS	10153100	2009-01-01	24.3	A
USGS	10153100	2009-01-02	24.4	A
USGS	10153100	2009-01-03	24.9	A
USGS	10153100	2009-01-04	23.3	A
USGS	10153100	2009-01-05	18.8	A
USGS	10153100	2009-01-06	17.9	A
USGS	10153100	2009-01-07	19.1	A
USGS	10153100	2009-01-08	24.0	A
USGS	10153100	2009-01-09	24.5	A
USGS	10153100	2009-01-10	24.3	A
USGS	10153100	2009-01-11	24.6	A
USGS	10153100	2009-01-12	23.9	A
USGS	10153100	2009-01-13	24.3	A
USGS	10153100	2009-01-14	24.5	A
USGS	10153100	2009-01-15	23.7	A
USGS	10153100	2009-01-16	24.5	A
USGS	10153100	2009-01-17	24.8	A
USGS	10153100	2009-01-18	23.5	A
USGS	10153100	2009-01-19	23.5	A
USGS	10153100	2009-01-20	24.0	A
USGS	10153100	2009-01-21	23.4	A
USGS	10153100	2009-01-22	24.6	A
USGS	10153100	2009-01-23	31.3	A
USGS	10153100	2009-01-24	30.5	A
USGS	10153100	2009-01-25	43.3	A
USGS	10153100	2009-01-26	33.0	A
USGS	10153100	2009-01-27	30.4	A
USGS	10153100	2009-01-28	27.9	A
USGS	10153100	2009-01-29	28.8	A
USGS	10153100	2009-01-30	26.6	A
USGS	10153100	2009-01-31	27.0	A
USGS	10153100	2009-02-01	26.0	A
USGS	10153100	2009-02-02	25.5	A
USGS	10153100	2009-02-03	24.3	A
USGS	10153100	2009-02-04	25.8	A
USGS	10153100	2009-02-05	25.9	A
USGS	10153100	2009-02-06	25.5	A
USGS	10153100	2009-02-07	27.0	A
USGS	10153100	2009-02-08	26.1	A
USGS	10153100	2009-02-09	25.5	A
USGS	10153100	2009-02-10	26.7	A
USGS	10153100	2009-02-11	25.8	A
USGS	10153100	2009-02-12	25.0	A
USGS	10153100	2009-02-13	25.1	A
USGS	10153100	2009-02-14	25.5	A
USGS	10153100	2009-02-15	25.1	A
USGS	10153100	2009-02-16	25.7	A
USGS	10153100	2009-02-17	25.5	A
USGS	10153100	2009-02-18	25.9	A
USGS	10153100	2009-02-19	25.1	A
USGS	10153100	2009-02-20	25.1	A
USGS	10153100	2009-02-21	25.3	A
USGS	10153100	2009-02-22	25.1	A
USGS	10153100	2009-02-23	25.7	A
USGS	10153100	2009-02-24	26.5	A
USGS	10153100	2009-02-25	28.2	A
USGS	10153100	2009-02-26	27.9	A
USGS	10153100	2009-02-27	28.5	A
USGS	10153100	2009-02-28	27.6	A
USGS	10153100	2009-03-01	28.2	A
USGS	10153100	2009-03-02	28.0	A
USGS	10153100	2009-03-03	27.2	A
USGS	10153100	2009-03-04	29.5	A
USGS	10153100	2009-03-05	30.9	A
USGS	10153100	2009-03-06	30.1	A
USGS	10153100	2009-03-07	29.9	A
USGS	10153100	2009-03-08	29.0	A
USGS	10153100	2009-03-09	29.3	A
USGS	10153100	2009-03-10	30.5	A
USGS	10153100	2009-03-11	28.6	A
USGS	10153100	2009-03-12	28.7	A
USGS	10153100	2009-03-13	28.4	A
USGS	10153100	2009-03-14	28.4	A
USGS	10153100	2009-03-15	27.6	A
USGS	10153100	2009-03-16	27.8	A
USGS	10153100	2009-03-17	29.2	A
USGS	10153100	2009-03-18	30.1	A
USGS	10153100	2009-03-19	32.4	A
USGS	10153100	2009-03-20	41.7	A
USGS	10153100	2009-03-21	53.3	A
USGS	10153100	2009-03-22	64.7	A
USGS	10153100	2009-03-23	55.2	A
USGS	10153100	2009-03-24	49.4	A
USGS	10153100	2009-03-25	46.9	A
USGS	10153100	2009-03-26	46.3	A
USGS	10153100	2009-03-27	42.8	A
USGS	10153100	2009-03-28	41.8	A
USGS	10153100	2009-03-29	41.9	A
USGS	10153100	2009-03-30	42.3	A
USGS	10153100	2009-03-31	42.9	A
USGS	10153100	2009-04-01	42.1	A
USGS	10153100	2009-04-02	44.4	A
USGS	10153100	2009-04-03	46.7	A
USGS	10153100	2009-04-04	43.0	A
USGS	10153100	2009-04-05	43.2	A
USGS	10153100	2009-04-06	42.2	A
USGS	10153100	2009-04-07	42.9	A
USGS	10153100	2009-04-08	47.3	A
USGS	10153100	2009-04-09	62.3	A
USGS	10153100	2009-04-10	58.3	A
USGS	10153100	2009-04-11	66.5	A
USGS	10153100	2009-04-12	72.2	A
USGS	10153100	2009-04-13	82.5	A
USGS	10153100	2009-04-14	97.2	A
USGS	10153100	2009-04-15	178	A
USGS	10153100	2009-04-16	144	A
USGS	10153100	2009-04-17	121	A
USGS	10153100	2009-04-18	125	A
USGS	10153100	2009-04-19	143	A
USGS	10153100	2009-04-20	191	A
USGS	10153100	2009-04-21	239	A
USGS	10153100	2009-04-22	271	A
USGS	10153100	2009-04-23	299	A
USGS	10153100	2009-04-24	316	A
USGS	10153100	2009-04-25	330	A
USGS	10153100	2009-04-26	254	A
USGS	10153100	2009-04-27	191	A
USGS	10153100	2009-04-28	168	A
USGS	10153100	2009-04-29	172	A
USGS	10153100	2009-04-30	191	A
USGS	10153100	2009-05-01	202	A
USGS	10153100	2009-05-02	253	A
USGS	10153100	2009-05-03	293	A
USGS	10153100	2009-05-04	275	A
USGS	10153100	2009-05-05	251	A
USGS	10153100	2009-05-06	257	A
USGS	10153100	2009-05-07	260	A
USGS	10153100	2009-05-08	260	A
USGS	10153100	2009-05-09	231	A
USGS	10153100	2009-05-10	215	A
USGS	10153100	2009-05-11	198	A
USGS	10153100	2009-05-12	192	A
USGS	10153100	2009-05-13	185	A
USGS	10153100	2009-05-14	160	A
USGS	10153100	2009-05-15	146	A
USGS	10153100	2009-05-16	139	A
USGS	10153100	2009-05-17	137	A
USGS	10153100	2009-05-18	138	A
USGS	10153100	2009-05-19	142	A
USGS	10153100	2009-05-20	164	A
USGS	10153100	2009-05-21	152	A
USGS	10153100	2009-05-22	137	A
USGS	10153100	2009-05-23	132	A
USGS	10153100	2009-05-24	138	A
USGS	10153100	2009-05-25	152	A
USGS	10153100	2009-05-26	138	A
USGS	10153100	2009-05-27	114	A
USGS	10153100	2009-05-28	101	A
USGS	10153100	2009-05-29	102	A
USGS	10153100	2009-05-30	99.1	A
USGS	10153100	2009-05-31	96.4	A
USGS	10153100	2009-06-01	85.3	A
USGS	10153100	2009-06-02	83.0	A
USGS	10153100	2009-06-03	75.4	A
USGS	10153100	2009-06-04	61.7	A
USGS	10153100	2009-06-05	59.7	A
USGS	10153100	2009-06-06	52.5	A
USGS	10153100	2009-06-07	54.4	A
USGS	10153100	2009-06-08	53.3	A
USGS	10153100	2009-06-09	47.6	A
USGS	10153100	2009-06-10	48.6	A
USGS	10153100	2009-06-11	48.1	A
USGS	10153100	2009-06-12	48.4	A
USGS	10153100	2009-06-13	45.5	A
USGS	10153100	2009-06-14	43.9	A
USGS	10153100	2009-06-15	37.9	A
USGS	10153100	2009-06-16	41.9	A
USGS	10153100	2009-06-17	36.6	A
USGS	10153100	2009-06-18	47.0	A
USGS	10153100	2009-06-19	45.5	A
USGS	10153100	2009-06-20	55.0	A
USGS	10153100	2009-06-21	53.3	A
USGS	10153100	2009-06-22	47.6	A
USGS	10153100	2009-06-23	39.5	A
USGS	10153100	2009-06-24	30.8	A
USGS	10153100	2009-06-25	23.3	A
