# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-12-06 22:56:37 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10163000 PROVO RIVER AT PROVO, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 10163000
#            TS   parameter     statistic     Description
#        143648       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	143648_00060_00003	143648_00060_00003_cd
5s	15s	20d	14n	10s
USGS	10163000	1984-01-01	678	A
USGS	10163000	1984-01-02	661	A
USGS	10163000	1984-01-03	644	A
USGS	10163000	1984-01-04	637	A
USGS	10163000	1984-01-05	620	A
USGS	10163000	1984-01-06	630	A
USGS	10163000	1984-01-07	631	A
USGS	10163000	1984-01-08	630	A
USGS	10163000	1984-01-09	609	A
USGS	10163000	1984-01-10	557	A
USGS	10163000	1984-01-11	528	A
USGS	10163000	1984-01-12	531	A
USGS	10163000	1984-01-13	522	A
USGS	10163000	1984-01-14	517	A
USGS	10163000	1984-01-15	512	A
USGS	10163000	1984-01-16	515	A
USGS	10163000	1984-01-17	531	A
USGS	10163000	1984-01-18	531	A
USGS	10163000	1984-01-19	531	A
USGS	10163000	1984-01-20	531	A
USGS	10163000	1984-01-21	531	A
USGS	10163000	1984-01-22	531	A
USGS	10163000	1984-01-23	531	A
USGS	10163000	1984-01-24	520	A
USGS	10163000	1984-01-25	383	A
USGS	10163000	1984-01-26	326	A
USGS	10163000	1984-01-27	321	A
USGS	10163000	1984-01-28	313	A
USGS	10163000	1984-01-29	305	A
USGS	10163000	1984-01-30	300	A
USGS	10163000	1984-01-31	300	A
USGS	10163000	1984-02-01	300	A
USGS	10163000	1984-02-02	300	A
USGS	10163000	1984-02-03	300	A
USGS	10163000	1984-02-04	300	A
USGS	10163000	1984-02-05	300	A
USGS	10163000	1984-02-06	300	A
USGS	10163000	1984-02-07	300	A
USGS	10163000	1984-02-08	300	A
USGS	10163000	1984-02-09	300	A
USGS	10163000	1984-02-10	302	A
USGS	10163000	1984-02-11	304	A
USGS	10163000	1984-02-12	304	A
USGS	10163000	1984-02-13	312	A
USGS	10163000	1984-02-14	352	A
USGS	10163000	1984-02-15	348	A
USGS	10163000	1984-02-16	355	A
USGS	10163000	1984-02-17	349	A
USGS	10163000	1984-02-18	359	A
USGS	10163000	1984-02-19	410	A
USGS	10163000	1984-02-20	417	A
USGS	10163000	1984-02-21	417	A
USGS	10163000	1984-02-22	417	A
USGS	10163000	1984-02-23	420	A
USGS	10163000	1984-02-24	430	A
USGS	10163000	1984-02-25	438	A
USGS	10163000	1984-02-26	451	A
USGS	10163000	1984-02-27	454	A
USGS	10163000	1984-02-28	456	A
USGS	10163000	1984-02-29	460	A
USGS	10163000	1984-03-01	461	A
USGS	10163000	1984-03-02	469	A
USGS	10163000	1984-03-03	468	A
USGS	10163000	1984-03-04	478	A
USGS	10163000	1984-03-05	472	A
USGS	10163000	1984-03-06	472	A
USGS	10163000	1984-03-07	483	A
USGS	10163000	1984-03-08	463	A
USGS	10163000	1984-03-09	421	A
USGS	10163000	1984-03-10	428	A
USGS	10163000	1984-03-11	445	A
USGS	10163000	1984-03-12	435	A
USGS	10163000	1984-03-13	432	A
USGS	10163000	1984-03-14	434	A
USGS	10163000	1984-03-15	445	A
USGS	10163000	1984-03-16	511	A
USGS	10163000	1984-03-17	549	A
USGS	10163000	1984-03-18	561	A
USGS	10163000	1984-03-19	569	A
USGS	10163000	1984-03-20	581	A
USGS	10163000	1984-03-21	557	A
USGS	10163000	1984-03-22	565	A
USGS	10163000	1984-03-23	562	A
USGS	10163000	1984-03-24	539	A
USGS	10163000	1984-03-25	532	A
USGS	10163000	1984-03-26	536	A
USGS	10163000	1984-03-27	555	A
USGS	10163000	1984-03-28	573	A
USGS	10163000	1984-03-29	588	A
USGS	10163000	1984-03-30	604	A
USGS	10163000	1984-03-31	635	A
USGS	10163000	1984-04-01	655	A
USGS	10163000	1984-04-02	682	A
USGS	10163000	1984-04-03	651	A
USGS	10163000	1984-04-04	633	A
USGS	10163000	1984-04-05	629	A
USGS	10163000	1984-04-06	628	A
USGS	10163000	1984-04-07	626	A
USGS	10163000	1984-04-08	618	A
USGS	10163000	1984-04-09	632	A
USGS	10163000	1984-04-10	637	A
USGS	10163000	1984-04-11	626	A
USGS	10163000	1984-04-12	603	A
USGS	10163000	1984-04-13	574	A
USGS	10163000	1984-04-14	569	A
USGS	10163000	1984-04-15	582	A
USGS	10163000	1984-04-16	593	A
USGS	10163000	1984-04-17	611	A
USGS	10163000	1984-04-18	635	A
USGS	10163000	1984-04-19	663	A
USGS	10163000	1984-04-20	635	A
USGS	10163000	1984-04-21	610	A
USGS	10163000	1984-04-22	597	A
USGS	10163000	1984-04-23	597	A
USGS	10163000	1984-04-24	604	A
USGS	10163000	1984-04-25	605	A
USGS	10163000	1984-04-26	602	A
USGS	10163000	1984-04-27	557	A
USGS	10163000	1984-04-28	601	A
USGS	10163000	1984-04-29	764	A
USGS	10163000	1984-04-30	977	A
USGS	10163000	1984-05-01	1110	A
USGS	10163000	1984-05-02	1150	A
USGS	10163000	1984-05-03	1150	A
USGS	10163000	1984-05-04	1130	A
USGS	10163000	1984-05-05	1160	A
USGS	10163000	1984-05-06	1220	A
USGS	10163000	1984-05-07	1270	A
USGS	10163000	1984-05-08	1260	A
USGS	10163000	1984-05-09	1240	A
USGS	10163000	1984-05-10	1110	A
USGS	10163000	1984-05-11	1120	A
USGS	10163000	1984-05-12	1350	A
USGS	10163000	1984-05-13	1440	A
USGS	10163000	1984-05-14	1430	A
USGS	10163000	1984-05-15	1020	A
USGS	10163000	1984-05-16	684	A
USGS	10163000	1984-05-17	682	A
USGS	10163000	1984-05-18	987	A
USGS	10163000	1984-05-19	984	A
USGS	10163000	1984-05-20	943	A
USGS	10163000	1984-05-21	961	A
