Organization,StationID,Date,Discharge_cfs
USGS,10141000,1/1/1984,2880
USGS,10141000,1/2/1984,2680
USGS,10141000,1/3/1984,2550
USGS,10141000,1/4/1984,2680
USGS,10141000,1/5/1984,2480
USGS,10141000,1/6/1984,2270
USGS,10141000,1/7/1984,2350
USGS,10141000,1/8/1984,2340
USGS,10141000,1/9/1984,2300
USGS,10141000,1/10/1984,2280
USGS,10141000,1/11/1984,1940
USGS,10141000,1/12/1984,1600
USGS,10141000,1/13/1984,1500
USGS,10141000,1/14/1984,1380
USGS,10141000,1/15/1984,1340
USGS,10141000,1/16/1984,1370
USGS,10141000,1/17/1984,1280
USGS,10141000,1/18/1984,1240
USGS,10141000,1/19/1984,1230
USGS,10141000,1/20/1984,1270
USGS,10141000,1/21/1984,1240
USGS,10141000,1/22/1984,1190
USGS,10141000,1/23/1984,1140
USGS,10141000,1/24/1984,1160
USGS,10141000,1/25/1984,1150
USGS,10141000,1/26/1984,1360
USGS,10141000,1/27/1984,1340
USGS,10141000,1/28/1984,1290
USGS,10141000,1/29/1984,1290
USGS,10141000,1/30/1984,1280
USGS,10141000,1/31/1984,1020
USGS,10141000,2/1/1984,955
USGS,10141000,2/2/1984,939
USGS,10141000,2/3/1984,886
USGS,10141000,2/4/1984,834
USGS,10141000,2/5/1984,832
USGS,10141000,2/6/1984,828
USGS,10141000,2/7/1984,802
USGS,10141000,2/8/1984,763
USGS,10141000,2/9/1984,710
USGS,10141000,2/10/1984,704
USGS,10141000,2/11/1984,615
USGS,10141000,2/12/1984,466
USGS,10141000,2/13/1984,374
USGS,10141000,2/14/1984,363
USGS,10141000,2/15/1984,338
USGS,10141000,2/16/1984,320
USGS,10141000,2/17/1984,318
USGS,10141000,2/18/1984,319
USGS,10141000,2/19/1984,319
USGS,10141000,2/20/1984,319
USGS,10141000,2/21/1984,319
USGS,10141000,2/22/1984,314
USGS,10141000,2/23/1984,295
USGS,10141000,2/24/1984,295
USGS,10141000,2/25/1984,300
USGS,10141000,2/26/1984,300
USGS,10141000,2/27/1984,297
USGS,10141000,2/28/1984,300
USGS,10141000,2/29/1984,300
USGS,10141000,3/1/1984,305
USGS,10141000,3/2/1984,305
USGS,10141000,3/3/1984,302
USGS,10141000,3/4/1984,305
USGS,10141000,3/5/1984,310
USGS,10141000,3/6/1984,339
USGS,10141000,3/7/1984,378
USGS,10141000,3/8/1984,362
USGS,10141000,3/9/1984,391
USGS,10141000,3/10/1984,439
USGS,10141000,3/11/1984,538
USGS,10141000,3/12/1984,596
USGS,10141000,3/13/1984,596
USGS,10141000,3/14/1984,793
USGS,10141000,3/15/1984,1100
USGS,10141000,3/16/1984,1080
USGS,10141000,3/17/1984,1090
USGS,10141000,3/18/1984,1290
USGS,10141000,3/19/1984,1320
USGS,10141000,3/20/1984,1410
USGS,10141000,3/21/1984,1540
USGS,10141000,3/22/1984,1380
USGS,10141000,3/23/1984,1310
USGS,10141000,3/24/1984,1340
USGS,10141000,3/25/1984,1370
USGS,10141000,3/26/1984,1360
USGS,10141000,3/27/1984,1070
USGS,10141000,3/28/1984,823
USGS,10141000,3/29/1984,765
USGS,10141000,3/30/1984,994
USGS,10141000,3/31/1984,798
USGS,10141000,4/1/1984,1140
USGS,10141000,4/2/1984,1090
USGS,10141000,4/3/1984,1150
USGS,10141000,4/4/1984,1190
USGS,10141000,4/5/1984,1250
USGS,10141000,4/6/1984,1530
