# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-12-06 23:00:16 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10141000 WEBER RIVER NEAR PLAIN CITY, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 10141000
#            TS   parameter     statistic     Description
#        143567       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	143567_00060_00003	143567_00060_00003_cd
5s	15s	20d	14n	10s
USGS	10141000	1984-01-01	2880	A
USGS	10141000	1984-01-02	2680	A
USGS	10141000	1984-01-03	2550	A
USGS	10141000	1984-01-04	2680	A
USGS	10141000	1984-01-05	2480	A
USGS	10141000	1984-01-06	2270	A
USGS	10141000	1984-01-07	2350	A
USGS	10141000	1984-01-08	2340	A
USGS	10141000	1984-01-09	2300	A
USGS	10141000	1984-01-10	2280	A
USGS	10141000	1984-01-11	1940	A
USGS	10141000	1984-01-12	1600	A
USGS	10141000	1984-01-13	1500	A
USGS	10141000	1984-01-14	1380	A
USGS	10141000	1984-01-15	1340	A
USGS	10141000	1984-01-16	1370	A
USGS	10141000	1984-01-17	1280	A
USGS	10141000	1984-01-18	1240	A
USGS	10141000	1984-01-19	1230	A
USGS	10141000	1984-01-20	1270	A
USGS	10141000	1984-01-21	1240	A
USGS	10141000	1984-01-22	1190	A
USGS	10141000	1984-01-23	1140	A
USGS	10141000	1984-01-24	1160	A
USGS	10141000	1984-01-25	1150	A
USGS	10141000	1984-01-26	1360	A
USGS	10141000	1984-01-27	1340	A
USGS	10141000	1984-01-28	1290	A
USGS	10141000	1984-01-29	1290	A
USGS	10141000	1984-01-30	1280	A
USGS	10141000	1984-01-31	1020	A
USGS	10141000	1984-02-01	955	A
USGS	10141000	1984-02-02	939	A
USGS	10141000	1984-02-03	886	A
USGS	10141000	1984-02-04	834	A
USGS	10141000	1984-02-05	832	A
USGS	10141000	1984-02-06	828	A
USGS	10141000	1984-02-07	802	A
USGS	10141000	1984-02-08	763	A
USGS	10141000	1984-02-09	710	A
USGS	10141000	1984-02-10	704	A
USGS	10141000	1984-02-11	615	A
USGS	10141000	1984-02-12	466	A
USGS	10141000	1984-02-13	374	A
USGS	10141000	1984-02-14	363	A
